Participant,Task,Intent,Notes,Temporal,Spatial,Edit,Note,Extra params,Temporal Disambiguation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,"Create a title over the video for “Point 1: How to get started in a language” blur out the video to bring focus to the title. At 1:27, end title card 
",Speaker says how to get started in a language (or something similar),,"Adding Text, Blurring",,“Point 1: How to get started in a language”,1:10 - 1:27, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,4,"9:22 - Add big text at top of frame to emphasize point, “Lots of listening and reading!”","Speaker says ""Lots of listening and reading""",Top of frame,Adding Text,,“Lots of listening and reading!”,9:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,"At 15:57, animate in text to emphasis summary, something like “focus on one language, occasionally refresh other languages with short stories, videos, etc.”",15:57,,Adding Text,animate text,"“focus on one language, occasionally refresh other languages with short stories, videos, etc.",15:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,12,"Similar to the book and headphone animation, occasionally animate in pictures the emphasis what the speaker is saying.",,,Adding Image,"animate image / I think we should remove ""similar to the book and headphone animation"" part from the command",pictures the emphasis what the speaker is saying,3:28,4:12,4:31,5:10,6:00,7:21,7:34,7:57,9:11,10:44,13:35,,,,,,,,,,,,,,,,,,,,,,,
1,3,13,End with answer at 1:02:21 and use a big title over the video: “WHEN YOU FEEL LIKE IT!”,1:02:21,over the video,Adding Text,"I think we can regard ""over the video"" as ""non-specified""",WHEN YOU FEEL LIKE IT!,1:02:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,7,16:49 Similar title slide “Point 3: How do you start talking?”,16:49,,Adding Text,,Point 3: How do you start talking?,16:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,5,We will zoom in on his hand while he talks about two different languages machine / natural language ,while he talks about two different languages machine / natural language,on his hand,Zooming,,in on his hand,7:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,13,Around 28:20 while showing very mysterious a.out file we will give some ghost looking transparent meaningless layovers because we dont’ want to losen the concentration of watchers.,Around 28:20,,Adding Image,,ghost looking transparent meaningless layovers,28:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,7,"13:50-14:20 while he is talking thingies as

#include <stdio.h>
Main, header file ,
Input, and receive thingies I want to make it one new screen and make it pop up by sequence so the watchers can get informations indented on their brain. For example, if I just listen to / watch to this video, It’s actually hard to get the point which is the most important. So, we will gonna just highlight the important part .",13:50-14:20,,Adding Text,,"#include <stdio.h> Header file
Int main()
{

}
Receive 0;
",13:50 - 14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1,"Overall, this guys is interacting too much with subscribers saying meaningless thingies like hey laura blabla thank you so will gonna trim almost every of it and make it into compact ‘informing’ video. ",meaningless thingies like hey laura blabla thank you,,Cutting/Trimming,,,0:45,0:58 - 1:36,3:45,6:21 - 6:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,4,6:46 He started to talk about history and mentioned one PhD student berish someone. We will gonna insert this photo and make it written down with sketching sound with his name at the exact point he mentioned that name. (used character as an explanation),6:46,described as sketch,Adding Image,"embedded an image, also + sketching sound",this photo,6:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,4,6:46 He started to talk about history and mentioned one PhD student berish someone. We will gonna insert this photo and make it written down with sketching sound with his name at the exact point he mentioned that name. (used character as an explanation),exact point he mentioned that name,,Adding Text,,his name,6:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,2,"Every time any quality of Surface go is mentioned, show it on the screen",Every time any quality of Surface go is mentioned,on the screen,Adding Text,,any quality of surface go,1:23,1:26,1:30,1:34,1:39,2:28,2:39,4:17,4:26,4:45,7:54,16:46,,,,,,,,,,,,,,,,,,,,,,
3,6,3,"Whenever the quality/price/battery/accessories of the two devices are compared, place a small light colored box on the bottom of the screen, so that the viewer can visually compare them",Whenever the quality/price/battery/accessories of the two devices are compared,Bottom of the screen,Adding Shape,,box,12:40,1:50,2:02,2:16,2:17,2:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,4,"When entering the wifi password, place a screen that shows what he’s entering. Show the first half of the password and put stars for the rest. E.g. admin12****",When entering the wifi password,,Adding Text,,first half of the password and put stars for the rest,5:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,5,"At the following moments put a very quick transitional frame which describes what the speaker is about to talk about:
6:04 - Accessories
7:48 - Power adapter
8:09 - Surface Connect Connector
9:20 - I/O
10:06 - Webcam
10:29 - Signature type cover
11:16 - Magnetic docking mechanism
15:35 - Display","6:04 - Accessories	
7:48 - Power adapter	
8:09 - Surface Connect Connector	
9:20 - I/O	
10:06 - Webcam	
10:29 - Signature type cover	
11:16 - Magnetic docking mechanism	
15:35 - Display",,"Adding Text, Adding Frames",,,6:04,7:48,8:09,9:20,10:06,10:29,11:16,15:35,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,14,"Add a thumbnail picture and once the video starts add a very small description text, since there is no introduction part",once the video starts,,Adding Image,,thumbnail picture,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,14,"Add a thumbnail picture and once the video starts add a very small description text, since there is no introduction part",once the video starts,,Adding Text,,very small description text,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,1,"To compare the MS surface go’s spec with gpd pocket 2 apple’s spec, highlight the spec of gdp pocket 2",,,Adding Text,,,1:44,1:50,2:02,2:16,2:17,2:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,11,It looks lightweight when he holds it. It would be good to add an emphasis for this.,when he holds it.,{object},,,,1:40,19:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,12,It looks like there are clear pros and cons between the ones on the right and the left. It would be beneficial to include content that emphasizes these differences. ,,,Adding Text,,content that emphasizes these differences,2:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,13,"I added a text below the prize barcode that says “Please take a photo, it’s first come, first served.”",,, Adding Text,,"Please take a photo, it's first come, first served",6:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,14,Trim from 7:20 to 7:40 where he opens the box and says there is a manua,"7:20 to 7:40, where he opens the box and says there is a manua",,Cutting/Trimming,,,7:20 - 7:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,1,"Remove all sections throughout the video that aren’t directed at questions. For example, things like “Please like the video”, “Thank you” etc. at 6:07, 24:03, 32:57. The whole video should only contain questions and answers.","all sections throughout the video that aren’t directed at questions. For example, things like “Please like the video”, “Thank you” etc. at 6:07, 24:03, 32:57.",,Cutting/Trimming,,,6:02-6:07,24:03,32:57,0:05 - 1:50,8:20 - 10:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,4,"Whenever the man’s pauses or filler words are too long in his answers, cut them out.",whenever the man's pauses or filler words are too long in his answers,,Cutting/Trimming,,,0:07 - 00:08,00:12 - 00:13,00:16 - 00:18,00:45 - 00:47,03:22 - 03:23,07:25 - 07:27,07:43 - 07:44,09:13 - 09:14,11:09 - 11:10,12:46 - 12:47,15:52 - 15:53,17:48 - 17:49,18:23 - 18:24,18:40 - 18:41,19:43 - 19:44,20:59 - 21:00,21:04 - 21:06,22:56 - 22:58,23:49 - 23:51,25:13 - 25:14,27:06 - 27:07,27:20 - 27:22,28:35 - 28:37,28:56 - 28:57,29:42 - 29:43,30:21 - 30:23,30:27 - 30:28,30:43 - 30:45,31:21 - 31:23,,,,,
6,5,6,"Make a circular progress bar at the top right side of the screen that starts at 0% when the man starts answering the question, and gradually increases to 100% once he is done, so that users can know how much of the answer is left.",,,Adding Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,8,"At 3:56, when the man refers to his instagram account, put an instagram icon and his instagram id on the right side of the screen, with a small description saying “check recent eyebrow case”","at 3:56, when the man refers to his instagram account",right side of the screen,Adding Text,,check recent eyebrow case,3:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
